City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,al jawf,29.5,38.75,38.17,11,0,3.03,SA,1691497163
302,patong,7.8961,98.2966,30.57,72,100,5.63,TH,1691497163
303,khanpur,28.6453,70.6567,41.63,23,0,4.42,PK,1691497164
304,deqen,29.9618,90.7188,17.72,69,100,1.36,CN,1691497164
305,talakan,50.3167,130.3667,16.9,93,100,0.88,RU,1691497164
306,nova sintra,14.8667,-24.7167,22.33,73,71,6.86,CV,1691497164
307,hithadhoo,-0.6,73.0833,27.89,70,73,2.01,MV,1691497165
308,inhambane,-23.865,35.3833,24.11,52,12,6.19,MZ,1691497165
309,mata-utu,-13.2816,-176.1745,27.5,77,55,3.14,WF,1691497165
310,codrington,-38.2667,141.9667,7.1,85,19,3.83,AU,1691497165
311,malango,-2.9627,119.9001,19.85,99,86,0.63,ID,1691497165
312,molepolole,-24.4066,25.4951,24.08,10,0,2.92,BW,1691497166
313,freetown,8.484,-13.2299,26.99,81,93,3.28,SL,1691497166
314,tonj,7.2737,28.6822,26.94,81,97,2.05,SS,1691497166
315,sorong,-0.8833,131.25,26.07,83,94,5.94,ID,1691497166
316,masterton,-40.9597,175.6575,2.87,97,91,0.67,NZ,1691497166
317,amga,60.8953,131.9608,13.2,76,46,1.61,RU,1691497167
318,ishigaki,24.3448,124.1572,28.07,89,100,2.57,JP,1691497167
319,ternitz,47.7156,16.0357,23.73,40,94,1.63,AT,1691497167
320,georgetown,5.4112,100.3354,26.64,92,20,1.54,MY,1691497156
321,hilo,19.7297,-155.09,25.34,78,100,3.6,US,1691497093
322,ancud,-41.8697,-73.8203,9.3,92,100,4.3,CL,1691497167
323,luchegorsk,46.4764,134.2569,20.18,84,84,1.32,RU,1691497167
324,ibb,13.9667,44.1833,24.83,48,83,5.09,YE,1691497168
325,wynne,35.2245,-90.7868,21.24,75,38,1.35,US,1691497168
326,araripina,-7.5761,-40.4983,21.85,71,74,5.66,BR,1691497168
327,greenville,35.6127,-77.3663,24.09,93,100,3.6,US,1691497168
328,christchurch,-43.5333,172.6333,5.53,71,69,3.09,NZ,1691497168
329,bac lieu,9.285,105.7244,28.44,75,100,4.83,VN,1691497168
330,necochea,-38.5473,-58.7368,1.89,78,64,5.49,AR,1691497169
331,mont-dore,-22.2833,166.5833,16.99,72,90,3.78,NC,1691497169
332,tongchuanshi,35.0806,109.0897,25.63,69,61,5.12,CN,1691497169
333,cambria,35.5641,-121.0808,14.86,99,47,0.89,US,1691497169
334,san julian,21.0167,-102.1667,13.31,78,1,0.9,MX,1691497169
335,midvagur,62.0511,-7.1939,9.46,76,100,9.26,FO,1691497170
336,arteche,12.2645,125.4048,27.39,79,27,2.44,PH,1691497170
337,ndele,8.4109,20.6473,22.49,92,100,0.85,CF,1691497170
338,riberalta,-10.9833,-66.1,24.11,94,20,0.0,BO,1691497170
339,vadso,70.0744,29.7487,24.49,64,0,3.09,NO,1691497170
340,atafu village,-8.5421,-172.5159,27.97,72,32,6.33,TK,1691497170
341,kiunga,-6.1219,141.2906,22.73,79,67,1.73,PG,1691497170
342,chibougamau,49.9168,-74.3659,14.79,100,100,5.14,CA,1691497171
343,labuan,5.2767,115.2417,27.2,83,20,0.51,MY,1691497171
344,le port,-20.9373,55.2919,24.94,85,23,3.58,RE,1691497171
345,rubio,7.7013,-72.3557,25.47,82,97,2.25,VE,1691497068
346,khandyga,62.6667,135.6,13.35,50,20,0.53,RU,1691497171
347,acapulco de juarez,16.8634,-99.8901,26.9,69,20,3.09,MX,1691496984
348,quellon,-43.1167,-73.6167,9.14,93,100,1.03,CL,1691496957
349,yeniseysk,58.4497,92.1703,21.37,65,85,1.51,RU,1691497172
350,nabire,-3.3667,135.4833,25.47,83,82,1.36,ID,1691497172
351,traiguen,-38.25,-72.6833,4.67,91,29,0.48,CL,1691497172
352,gadzhiyevo,69.2551,33.3362,24.24,61,11,6.55,RU,1691497172
353,moree,-29.4667,149.85,12.79,50,43,1.96,AU,1691497172
354,sejny,54.108,23.347,17.67,50,100,5.79,PL,1691497173
355,elverum,60.8819,11.5623,18.66,91,90,4.8,NO,1691497173
356,santana,-0.0583,-51.1817,29.1,84,40,3.09,BR,1691496919
357,taber,49.8167,-112.1518,14.0,88,80,4.12,CA,1691497173
358,bikenibeu village,1.3673,173.1241,26.98,94,75,1.03,KI,1691497173
359,north bend,43.4065,-124.2243,15.51,100,0,0.0,US,1691497002
360,as sulayyil,20.4607,45.5779,45.14,8,16,3.7,SA,1691497174
361,goundi,9.3627,17.366,28.23,67,100,1.93,TD,1691497174
362,morant bay,17.8815,-76.4093,29.28,80,16,4.08,JM,1691497174
